meeting_key,meeting_official_name,circuit_key,circuit_short_name,country_key,country_name,location,gmt_offset,start_date
1229,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-02-29T11:30:00+00:00
1230,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-07T13:30:00+00:00
1231,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-22T01:30:00+00:00
1232,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-05T02:30:00+00:00
1233,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,49,Shanghai,53,China,Shanghai,08:00:00,2024-04-19T03:30:00+00:00
1234,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,151,Miami,19,United States,Miami,-04:00:00,2024-05-03T16:30:00+00:00
1235,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,6,Imola,13,Italy,Imola,02:00:00,2024-05-17T11:30:00+00:00
1236,FORMULA 1 GRAND PRIX DE MONACO 2024,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-24T11:30:00+00:00
1237,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-07T17:30:00+00:00
1238,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-21T11:30:00+00:00
1239,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,19,Spielberg,17,Austria,Spielberg,02:00:00,2024-06-28T10:30:00+00:00
1240,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-05T11:30:00+00:00
1241,FORMULA 1 HUNGARIAN GRAND PRIX 2024,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-19T11:30:00+00:00
1242,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-26T11:30:00+00:00
1243,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-23T10:30:00+00:00
