meeting_key,session_key,circuit_key,circuit_short_name,country_key,country_name,location,gmt_offset,start_date,end_date
1229,9468,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-03-01T16:00:00+00:00,2024-03-01T17:00:00+00:00
1230,9476,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-08T17:00:00+00:00,2024-03-08T18:00:00+00:00
1231,9484,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-23T05:00:00+00:00,2024-03-23T06:00:00+00:00
1232,9492,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-06T06:00:00+00:00,2024-04-06T07:00:00+00:00
1233,9664,49,Shanghai,53,China,Shanghai,08:00:00,2024-04-20T07:00:00+00:00,2024-04-20T08:00:00+00:00
1234,9498,151,Miami,19,United States,Miami,-04:00:00,2024-05-04T20:00:00+00:00,2024-05-04T21:00:00+00:00
1235,9511,6,Imola,13,Italy,Imola,02:00:00,2024-05-18T14:00:00+00:00,2024-05-18T15:00:00+00:00
1236,9519,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-25T14:00:00+00:00,2024-05-25T15:00:00+00:00
1237,9527,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-08T20:00:00+00:00,2024-06-08T21:00:00+00:00
1238,9535,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-22T14:00:00+00:00,2024-06-22T15:00:00+00:00
1239,9541,19,Spielberg,17,Austria,Spielberg,02:00:00,2024-06-29T14:00:00+00:00,2024-06-29T15:00:00+00:00
1240,9554,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-06T14:00:00+00:00,2024-07-06T15:00:00+00:00
1241,9562,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-20T14:00:00+00:00,2024-07-20T15:00:00+00:00
1242,9570,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-27T14:00:00+00:00,2024-07-27T15:00:00+00:00
1243,9578,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-24T13:00:00+00:00,2024-08-24T14:00:00+00:00
1244,9586,39,Monza,13,Italy,Monza,02:00:00,2024-08-31T14:00:00+00:00,2024-08-31T15:00:00+00:00
